ID,Agglomeration_ID,Name,Country,continent,iso2,iso3,lat,lng,population,Cx,Cy,NBuildings,TotalFootprint,MeanBuildingArea,MedianBuildingArea,VarBuildingArea,MeanDistanceBuildings,WMeanDistanceBuildings,MaxBuildingsDistance,MeanDistanceBuildingsY,WMeanDistanceBuildingsY,MaxBuildingsDistanceY,MeanDistanceBuildingsG,WMeanDistanceBuildingsG,MaxBuildingsDistanceG,Elongation,Sprawl,CentreLon,CentreLat,CentreDensity,NBuildingsCentre1km,TotalFootprintCentre1km,NBuildingsCentre3km,TotalFootprintCentre3km,MeanArea0100m,MeanArea0250m,MeanArea0500m,MeanArea0750m,MeanArea1000m,MeanArea1500m,MeanArea2000m,MeanArea2500m,MeanArea3000m,MeanArea4000m,FootpLargeBuildings050m,FootpLargeBuildings100m,FootpLargeBuildings200m,HullArea,MeanRemoteness,waterTariff15 m3,waterTariff50 m3,waterTariff100 m3,UrbWaterSafelyManaged,UrbWaterPremises,UrbWaterFreeContamination,UrbWaterPiped,UrbLimitedWater(more than 30m),UrbanUnimprovedSanitation,UrbPopwith Water Premises,UrbPopWithPipedWater,MeanCritInf
IDN9004621,NA,Batam,Indonesia,Asia,ID,IDN,1.0833,104.0333,1230097,104.009867,1.148084,350941,42514574.22,121.1445064,69.6257,125885.1178,10.2532477,10.34807781,29.11297763,10.28321787,10.4484416,29.04620404,10.22761549,10.60986605,29.13880331,0.003956969,0.000762302,104.0294384,1.149128506,7407289312,13342,1598104.72,68545,8610690.657,126.4827633,118.0452716,120.4958921,117.6441153,119.779997,126.5025801,122.6171903,122.5214516,125.6209885,122.4638349,0.919408151,0.722804012,0.471633944,217.4068874,8.920923898,NA,NA,NA,34.63023626,74.48418627,34.63023626,29.55915969,0.613185784,0.442411116,916227.7408,363606.3366,0.051381065
IND9000003,NA,New Delhi,India,Asia,IN,IND,28.61,77.23,32226000,77.229879,28.612882,5857190,578145441.4,98.70696382,60.19415,49980.24233,35.3030785,34.16873991,112.9613228,35.14552844,34.66825219,113.1304396,35.51275158,35.16747991,113.8917569,0.004163477,0.000631592,77.2654743,28.68816675,7382779853,22724,2096967.236,113696,10760501.4,88.84503031,88.81689752,91.09480341,92.81611286,92.27984668,92.28094,93.64633602,93.51593481,94.64274379,96.70883186,0.879339101,0.664263848,0.389102237,2929.857978,3.442410584,3.54,24.17,58.63,0,82.38996133,0,65.55876811,2.502913642,0.005213088,26550988.94,21126968.61,0.214551318
IND9000005,NA,Mumbai,India,Asia,IN,IND,19.0761,72.8775,24973000,72.819119,18.968949,1402188,193829948,138.233923,65.11255,115925.1426,22.0935196,22.75568474,65.42387836,22.0906179,22.68791783,65.48761856,22.11312614,22.99813354,65.47272751,0.004164576,0.000737637,72.89314864,19.10358298,7290409776,13810,1474502.127,71819,8108627.463,87.09449077,90.11907685,106.4310221,114.8319751,106.7706102,102.6316084,98.91331124,103.8828248,112.9036531,118.9259361,0.918282024,0.793054256,0.601810019,933.7523268,4.359550625,1.13,3.77,7.54,0,82.38996133,0,65.55876811,2.502913642,0.005213088,20575245.04,16371991.16,0.201329132
IND9000015,NA,Kolkata,India,Asia,IN,IND,22.5675,88.37,18502000,88.358792,22.572363,3482151,279742861.4,80.33622361,58.2894,33805.17687,20.76291682,19.7055086,71.86626406,20.74072697,19.98820095,71.59594471,20.85353353,19.78396494,71.50451662,0.003807944,0.000493665,88.38441886,22.53501359,6805508101,12680,1488878.734,96014,9729945.591,96.46398584,105.9455936,115.9517927,118.6559367,117.4194585,111.4244484,109.8280682,102.7212852,101.3388213,98.1991776,0.842713686,0.527451012,0.227751156,717.4672239,4.349837189,1.39,4.62,9.25,0,82.38996133,0,65.55876811,2.502913642,0.005213088,15243790.65,12129683.28,0.128973659
IND9000023,NA,Bangalore,India,Asia,IN,IND,12.9789,77.5917,15386000,77.594172,12.972095,1843205,204529323.6,110.9639588,76.2946,48413.64351,14.09249486,14.14027521,45.77448516,14.13114659,14.34090659,45.07924902,14.30761822,15.19981146,45.33049568,0.002836551,0.000417575,77.52763495,12.98639355,6928418480,13310,1497633.945,109507,11749034,142.7548282,135.4465819,118.4512439,119.42946,112.5194549,105.3050807,105.0497927,106.0798051,107.2902554,105.8971965,0.915306088,0.710419599,0.382361569,902.8268233,2.914625089,2.98,15.78,53.68,0,82.38996133,0,65.55876811,2.502913642,0.005213088,12676519.45,10086872.06,0.308063331
IND9000030,NA,Chennai,India,Asia,IN,IND,13.0825,80.275,12395000,80.274252,13.082905,1607168,169019246.6,105.1658859,70.5592,43843.47475,13.51817056,12.92885601,50.42437771,13.54311436,13.07797607,50.77559248,13.64770785,12.97974572,48.04032681,0.0034373,0.000383696,80.2807195,13.09787307,8179376529,12728,1737356.193,82537,8859772.589,148.3352522,136.1659949,132.9058279,136.4518566,136.4987581,129.9443122,118.7900977,111.245647,107.3430412,103.4556935,0.90216679,0.688528807,0.37579294,608.612685,2.998981193,1.79,19.23,47.35,0,82.38996133,0,65.55876811,2.502913642,0.005213088,10212235.71,8126009.307,0.3051128
IND9000040,NA,Hyderabad,India,Asia,IN,IND,17.385,78.4867,10494000,78.484755,17.380835,2279247,257636537.2,113.0358128,79.49,49193.7125,16.87054405,16.70715786,57.73985891,16.88742861,16.81001538,57.41045727,16.87457432,16.87707593,57.36046065,0.00318799,0.000422706,78.48494306,17.35262888,7746382015,20785,1860021.755,139843,13976294.21,93.88709456,95.51868017,90.98156371,91.59086556,89.48865791,90.96377448,92.39259705,95.96798784,99.9427516,102.6822143,0.920521806,0.735071907,0.387384874,1386.625844,3.633243525,0.53,NA,NA,0,82.38996133,0,65.55876811,2.502913642,0.005213088,8646002.542,6879737.125,0.211307773
IND9000081,NA,Jaipur,India,Asia,IN,IND,26.9,75.8,3073350,75.819625,26.912351,1167573,111182362.6,95.22519161,59.991,24636.59477,11.75599608,11.62940261,33.98280316,11.77071874,11.86050789,34.14369378,11.73988402,11.64209356,33.98051362,0.002856184,0.000530886,75.81477551,26.92610051,6728564526,21823,1683667.733,126676,10471166.93,86.63250585,81.06212761,78.9294235,74.30128807,77.15106688,79.76610958,79.94721979,81.76928482,82.66101651,84.81657404,0.878833658,0.684830257,0.363402721,719.8844348,5.319451928,NA,NA,NA,0,82.38996133,0,65.55876811,2.502913642,0.005213088,2532131.877,2014850.4,0.174102168
IND9002028,NA,Ahmedabad,India,Asia,IN,IND,23.03,72.58,8009000,72.598625,23.025975,1008444,108576310.6,107.667169,67.24445,47076.09675,9.66865957,9.764043728,29.68665163,9.635895879,9.89590365,29.65375943,9.662350826,9.792947067,29.58433324,0.002524868,0.000415972,72.59189462,23.02409639,6947536588,25168,1716377.818,113482,9969309.568,57.6109845,56.13568815,58.75113448,62.83779148,68.19683003,75.02482278,79.69100157,82.73497577,87.84925863,97.09422722,0.900076144,0.690140665,0.423801777,536.1151509,2.323475718,NA,NA,NA,0,82.38996133,0,65.55876811,2.502913642,0.005213088,6598612.003,5250601.738,0.212245925
IND9004453,NA,Pune,India,Asia,IN,IND,18.5203,73.8567,8231000,73.867503,18.525565,1316730,151314717.7,114.9170428,59.58475,124485.9367,17.36625961,17.54701698,56.62403788,17.40168579,18.13038577,55.66464534,17.34784342,17.19908191,55.47283943,0.004079484,0.000595979,73.7770289,18.60957321,5790875055,12435,1148934.521,62089,7079579.126,80.17902365,74.47577434,82.11444898,88.19581941,92.39521682,102.6556139,108.803202,114.3802143,114.0230818,116.2507202,0.898098875,0.73188334,0.505793555,1358.194173,2.880360205,NA,NA,NA,0,82.38996133,0,65.55876811,2.502913642,0.005213088,6781517.717,5396142.203,0.215734987
